# 🚨
# 🚨 Source: https://wolfberg.net/what/NWL18defs.exe::NWL18defs.txt
# 🚨
	NWL2018 (2019-2-20)
acrogen acrogens	ACROGEN n pl. -S a plant growing at the apex only
acrolect acrolects	ACROLECT n pl. -S a high form of a language
acrolein acroleins	ACROLEIN n pl. -S a flammable liquid
acrolith acroliths	ACROLITH n pl. -S a type of statue
acromion acromia acromial	ACROMION n pl. -MIA the outward end of the shoulder blade ACROMIAL adj
acronic	ACRONIC adj occurring at sunset
acronym acronyms acronymic acronymically	ACRONYM n pl. -S a word formed from the initials of a compound term or series of words ACRONYMIC adj ACRONYMICALLY adv
acrosome acrosomes acrosomal	ACROSOME n pl. -S a thin sac at the head of a sperm ACROSOMAL adj
across	ACROSS prep from one side of to the other
acrostic acrostics	ACROSTIC n pl. -S a poem in which certain letters taken in order form a word or phrase
acrotism acrotisms acrotic	ACROTISM n pl. -S weakness of the pulse ACROTIC adj
acrylate acrylates	ACRYLATE n pl. -S an acrylic
acrylic acrylics	ACRYLIC n pl. -S a type of resin
act acted acting acts	ACT v -ED, -ING, -S to do something
acta	ACTA n/pl recorded proceedings
actable	ACTABLE adj suitable for performance on the stage
actin actins	ACTIN n pl. -S a protein in muscle tissue
actinal actinally	ACTINAL adj having tentacles ACTINALLY adv
acting actings	ACTING n pl. -S the occupation of an actor
actinia actiniae actinias	ACTINIA n pl. -IAE or -IAS a marine animal
actinian actinians	ACTINIAN n pl. -S actinia
actinic	ACTINIC adj pertaining to actinism
actinide actinides	ACTINIDE n pl. -S any of a series of radioactive elements
actinism actinisms	ACTINISM n pl. -S the property of radiant energy that effects chemical changes
actinium actiniums	ACTINIUM n pl. -S a radioactive element
actinoid actinoids	ACTINOID n pl. -S an actinide
actinon actinons	ACTINON n pl. -S an isotope of radon
action actioned actioning actions	ACTION v -ED, -ING, -S to bring a lawsuit against
actioner actioners	ACTIONER n pl. -S a film with exciting action
activate activated activating activates	ACTIVATE v -VATED, -VATING, -VATES to set in motion
active actives	ACTIVE n pl. -S a participating member of an organization
actively	ACTIVELY adv with activity
activism activisms	ACTIVISM n pl. -S a doctrine that emphasizes direct and decisive action
activist activists	ACTIVIST n pl. -S an advocate of activism
activity activities	ACTIVITY n pl. -TIES brisk action or movement
activize activized activizing activizes	ACTIVIZE v -IZED, -IZING, -IZES to activate
actor actors actorish actorly	ACTOR n pl. -S a theatrical performer ACTORISH, ACTORLY adj
actress actresses actressy	ACTRESS n pl. -ES a female actor ACTRESSY adj
actual actually	ACTUAL adj existing in fact ACTUALLY adv
actualise actualised actualising actualises	ACTUALISE v -ISED, -ISING, -ISES to actualize
actualize actualized actualizing actualizes	ACTUALIZE v -ISED, -ISING, -ISES to make actual
actuary actuaries	ACTUARY n pl. -ARIES a statistician who computes insurance risks and premiums
actuate actuated actuating actuates	ACTUATE v -ATED, -ATING, -ATES to set into action or motion
actuator actuators	ACTUATOR n pl. -S one that actuates
acuate	ACUATE adj sharp
acuity acuities	ACUITY n pl. -ITIES sharpness
aculeate aculeates	ACULEATE n pl. -S a stinging insect
aculeus aculei	ACULEUS n pl. -LEI a sharp-pointed part
acumen acumens acuminous	ACUMEN n pl. -S mental keenness ACUMINOUS adj
