# 🚨
# 🚨 Source: https://wolfberg.net/what/TWLdefs.exe::TWLdefs.txt
# 🚨
	TWL98 (2006-04-15)
acrolect acrolects	ACROLECT n pl. -S a high form of a language
acrolein acroleins	ACROLEIN n pl. -S a flammable liquid
acrolith acroliths	ACROLITH n pl. -S a type of statue
acromion acromial acromia	ACROMION n pl. -MIA the outward end of the shoulder blade ACROMIAL adj
acronic	ACRONIC adj occurring at sunset
acronym acronyms	ACRONYM n pl. -S a word formed from the initials of a compound term or series of words
acrosome acrosomes	ACROSOME n pl. -S a thin sac at the head of a sperm
across	ACROSS prep from one side of to the other
acrostic acrostics	ACROSTIC n pl. -S a poem in which certain letters taken in order form a word or phrase
acrotism acrotic acrotisms	ACROTISM n pl. -S weakness of the pulse ACROTIC adj
acrylate acrylates	ACRYLATE n pl. -S an acrylic
acrylic acrylics	ACRYLIC n pl. -S a type of resin
act acts acting acted	ACT v -ED, -ING, -S to do something
acta	ACTA n/pl recorded proceedings
actable	ACTABLE adj suitable for performance on the stage
actin actins	ACTIN n pl. -S a protein in muscle tissue
actinal	ACTINAL adj having tentacles
acting actings	ACTING n pl. -S the occupation of an actor
actinia actinias actiniae	ACTINIA n pl. -IAE or -IAS a marine animal
actinian actinians	ACTINIAN n pl. -S actinia
actinic	ACTINIC adj pertaining to actinism
actinide actinides	ACTINIDE n pl. -S any of a series of radioactive elements
actinism actinisms	ACTINISM n pl. -S the property of radiant energy that effects chemical changes
actinium actiniums	ACTINIUM n pl. -S a radioactive element
actinoid actinoids	ACTINOID n pl. -S an actinide
actinon actinons	ACTINON n pl. -S an isotope of radon
action actions	ACTION n pl. -S the process of acting
activate activates activating activated	ACTIVATE v -VATED, -VATING, -VATES to set in motion
active actives	ACTIVE n pl. -S a participating member of an organization
actively	ACTIVELY adv with activity
activism activisms	ACTIVISM n pl. -S a doctrine that emphasizes direct and decisive action
activist activists	ACTIVIST n pl. -S an advocate of activism
activity activities	ACTIVITY n pl. -TIES brisk action or movement
activize activizes activizing activized	ACTIVIZE v -IZED, -IZING, -IZES to activate
actor actorish actors	ACTOR n pl. -S a theatrical performer ACTORISH adj
actress actressy actresses	ACTRESS n pl. -ES a female actor ACTRESSY adj
actual actually	ACTUAL adj existing in fact ACTUALLY adv
actuary actuaries	ACTUARY n pl. -ARIES a statistician who computes insurance risks and premiums
actuate actuates actuating actuated	ACTUATE v -ATED, -ATING, -ATES to set into action or motion
actuator actuators	ACTUATOR n pl. -S one that actuates
acuate	ACUATE adj sharp
acuity acuities	ACUITY n pl. -ITIES sharpness
aculeate	ACULEATE adj having a sting
aculeus aculei	ACULEUS n pl. -LEI a sharp-pointed part
acumen acumens	ACUMEN n pl. -S mental keenness
acutance acutances	ACUTANCE n pl. -S a measure of photographic clarity
acute acutely acutest acuter	ACUTE adj ACUTER, ACUTEST marked by sharpness or severity ACUTELY adv
acute acutes	ACUTE n pl. -S a type of accent mark
acyclic	ACYCLIC adj not cyclic
acyl acyls	ACYL n pl. -S a univalent radical
acylate acylates acylating acylated	ACYLATE v -ATED, -ATING, -ATES to introduce acyl into
acyloin acyloins	ACYLOIN n pl. -S a type of chemical compound
ad ads	AD n pl. -S an advertisement
adage adagial adages	ADAGE n pl. -S a traditional saying expressing a common observation ADAGIAL adj
adagio adagios	ADAGIO n pl. -GIOS a musical composition or movement played in a slow tempo
adamance adamances	ADAMANCE n pl. -S adamancy
adamancy adamancies	ADAMANCY n pl. -CIES unyielding hardness
adamant adamants	ADAMANT n pl. -S an extremely hard substance
adamsite adamsites	ADAMSITE n pl. -S a lung-irritating gas
adapt adapts adapting adapted	ADAPT v -ED, -ING, -S to make suitable
adapter adapters	ADAPTER n pl. -S one that adapts
adaption adaptive adaptions	ADAPTION n pl. -S the act of adapting ADAPTIVE adj
adaptor adaptors	ADAPTOR n pl. -S adapter
adaxial	ADAXIAL adj situated on the same side as
add addable adds adding added	ADD v -ED, -ING, -S to combine or join so as to bring about an increase ADDABLE adj
addax addaxes	ADDAX n pl. -ES a large antelope
addedly	ADDEDLY adv additionally
addend addends	ADDEND n pl. -S a number to be added to another
addendum addenda	ADDENDUM n pl. -DA something added or to be added
adder adders	ADDER n pl. -S a venomous snake
addible	ADDIBLE adj capable of being added
addict addicts addicting addicted	ADDICT v -ED, -ING, -S to devote or surrender to something habitually or compulsively
addition additions	ADDITION n pl. -S something added
additive additives	ADDITIVE n pl. -S a substance added to another to impart desirable qualities
additory	ADDITORY adj making an addition
addle addles addling addled	ADDLE v -DLED, -DLING, -DLES to confuse
address addresses addressing addrest addressed	ADDRESS v -DRESSED or -DREST, -DRESSING, -DRESSES to speak to
adduce adduces adducing adduced	ADDUCE v -DUCED, -DUCING, -DUCES to bring forward as evidence
adducent	ADDUCENT adj serving to adduct
