ID,Color,RGB,Source
778,Gray76,C2C2C2,X11
779,Grey76,C2C2C2,X11
780,Gray77,C4C4C4,X11
781,Grey77,C4C4C4,X11
782,Gray78,C7C7C7,X11
783,Grey78,C7C7C7,X11
784,Gray79,C9C9C9,X11
785,Grey79,C9C9C9,X11
786,Gray80,CCCCCC,X11
787,Grey80,CCCCCC,X11
788,Gray81,CFCFCF,X11
789,Grey81,CFCFCF,X11
790,Gray82,D1D1D1,X11
791,Grey82,D1D1D1,X11
792,Gray83,D4D4D4,X11
793,Grey83,D4D4D4,X11
794,Gray84,D6D6D6,X11
795,Grey84,D6D6D6,X11
796,Gray85,D9D9D9,X11
797,Grey85,D9D9D9,X11
798,Gray86,DBDBDB,X11
799,Grey86,DBDBDB,X11
800,Gray87,DEDEDE,X11
801,Grey87,DEDEDE,X11
