ID,Color,RGB,Source
501,RosyBrown4,8B6969,X11
502,IndianRed1,FF6A6A,X11
503,IndianRed2,EE6363,X11
504,IndianRed3,CD5555,X11
505,IndianRed4,8B3A3A,X11
506,Sienna1,FF8247,X11
507,Sienna2,EE7942,X11
508,Sienna3,CD6839,X11
509,Sienna4,8B4726,X11
510,Burlywood1,FFD39B,X11
511,Burlywood2,EEC591,X11
512,Burlywood3,CDAA7D,X11
513,Burlywood4,8B7355,X11
514,Wheat1,FFE7BA,X11
515,Wheat2,EED8AE,X11
516,Wheat3,CDBA96,X11
517,Wheat4,8B7E66,X11
518,Tan1,FFA54F,X11
519,Tan2,EE9A49,X11
520,Tan3,CD853F,X11
521,Tan4,8B5A2B,X11
522,Chocolate1,FF7F24,X11
523,Chocolate2,EE7621,X11
524,Chocolate3,CD661D,X11
525,Chocolate4,8B4513,X11
526,Firebrick1,FF3030,X11
527,Firebrick2,EE2C2C,X11
528,Firebrick3,CD2626,X11
529,Firebrick4,8B1A1A,X11
530,Brown1,FF4040,X11
531,Brown2,EE3B3B,X11
532,Brown3,CD3333,X11
533,Brown4,8B2323,X11
534,Salmon1,FF8C69,X11
535,Salmon2,EE8262,X11
536,Salmon3,CD7054,X11
537,Salmon4,8B4C39,X11
538,LightSalmon1,FFA07A,X11
539,LightSalmon2,EE9572,X11
540,LightSalmon3,CD8162,X11
541,LightSalmon4,8B5742,X11
542,Orange1,FFA500,X11
543,Orange2,EE9A00,X11
544,Orange3,CD8500,X11
545,Orange4,8B5A00,X11
546,DarkOrange1,FF7F00,X11
547,DarkOrange2,EE7600,X11
548,DarkOrange3,CD6600,X11
549,DarkOrange4,8B4500,X11
550,Coral1,FF7256,X11
551,Coral2,EE6A50,X11
552,Coral3,CD5B45,X11
553,Coral4,8B3E2F,X11
554,Tomato1,FF6347,X11
555,Tomato2,EE5C42,X11
556,Tomato3,CD4F39,X11
557,Tomato4,8B3626,X11
558,OrangeRed1,FF4500,X11
559,OrangeRed2,EE4000,X11
560,OrangeRed3,CD3700,X11
561,OrangeRed4,8B2500,X11
562,Red1,FF0000,X11
563,Red2,EE0000,X11
564,Red3,CD0000,X11
565,Red4,8B0000,X11
566,DeepPink1,FF1493,X11
567,DeepPink2,EE1289,X11
568,DeepPink3,CD1076,X11
569,DeepPink4,8B0A50,X11
570,HotPink1,FF6EB4,X11
571,HotPink2,EE6AA7,X11
572,HotPink3,CD6090,X11
573,HotPink4,8B3A62,X11
574,Pink1,FFB5C5,X11
575,Pink2,EEA9B8,X11
576,Pink3,CD919E,X11
577,Pink4,8B636C,X11
578,LightPink1,FFAEB9,X11
579,LightPink2,EEA2AD,X11
580,LightPink3,CD8C95,X11
581,LightPink4,8B5F65,X11
582,PaleVioletRed1,FF82AB,X11
583,PaleVioletRed2,EE799F,X11
584,PaleVioletRed3,CD6889,X11
585,PaleVioletRed4,8B475D,X11
586,Maroon1,FF34B3,X11
587,Maroon2,EE30A7,X11
588,Maroon3,CD2990,X11
589,Maroon4,8B1C62,X11
590,VioletRed1,FF3E96,X11
591,VioletRed2,EE3A8C,X11
592,VioletRed3,CD3278,X11
593,VioletRed4,8B2252,X11
594,Magenta1,FF00FF,X11
595,Magenta2,EE00EE,X11
596,Magenta3,CD00CD,X11
597,Magenta4,8B008B,X11
