# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
-Johnny	2	1
-Johnston	2	1
-jokingly	1	1
-Joshua	1	1
-June	1	1
-just	5	5
-Just	12	12
-K-M-T-G	1	1
-K	9	9
-KACL	1	1
-karat	14	14
-Keeble	1	1
-Keep	1	1
-Ken	1	1
-key	1	1
-Kilo	1	1
-kilodalton	1	1
-kilometer	2	2
-kiloton	2	2
-kilowatt	1	1
-King-	1	1
-KlDS	1	1
-Knob	1	1
-knot	2	2
-Know	2	1
-L-	4	2
-l	3	1
-L	8	5
-la-ei	2	1
-land	1	1
-lantern	9	8
-lanterns	1	1
-lap	3	2
-Later	2	2
-lations	1	1
-Laurent	1	1
-Laws	1	1
-lb	6	5
-lead	18	16
-leaf	1	1
-led	1	1
-Left	1	1
-legged	4	4
-LEGS-UP	1	1
-lemon	1	1
-Lena	1	1
-length	1	1
-Less	2	2
-let	1	1
-Let	13	10
-letter	8	8
-level	1	1
-Libby	1	1
-licensed	1	1
-lie	1	1
-Life	1	1
-Lighten	1	1
-like	1	1
-Like	4	4
-Lilly	3	3
-Lincoln-	2	1
-Lindbergh	1	1
-link	1	1
-Listen	4	3
-liter	1	1
-Little	2	2
-LlZZlE	1	1
-lmpossible	1	1
-ln	2	2
-lobsters	1	1
-long	1	1
-Look	7	6
-Looking	1	1
-los-went	1	1
-lost--	1	1
-Lou	2	1
-love	8	6
-ls	5	4
-lsabel	3	1
-Lucifer	1	1
-Lucky	1	1
-lutely	7	5
-LX	1	1
-M	1	1
-Ma	1	1
-macho	1	1
-Madame	1	1
-made	2	1
-Made	1	1
-magazine	1	1
-magnitude	1	1
-magnums	1	1
-make	1	1
-Make	1	1
-makes	1	1
-Makes	3	1
-making	1	1
-MAM	1	1
-man	19	17
-Man	2	2
-Marci	1	1
-Marilyn	1	1
-Marni---	1	1
-married	1	1
-Married	1	1
-Marshall	8	1
-Martin	1	1
-Martini	1	1
-Marty	7	1
-Mary-	1	1
-Mary	1	1
-Mattress	1	1
-May	1	1
-maybe	1	1
-Maybe	6	6
-Mayflower	1	1
-me	8	2
-Me	3	3
-meals	1	1
-meaning--	1	1
-meaning	1	1
-Meaning	1	1
-megabyte	2	2
-megaton	7	6
-melted	1	1
-melter	1	1
-member	2	2
-men	1	1
-Merci	1	1
-Merry	1	1
-meter	29	14
-metre	5	4
-mg	1	1
-micron	1	1
-midget	2	2
-Might	1	1
-mighty	1	1
-Mike	1	1
-mile-an-hour	11	10
-mile-long	1	1
-mile-per-hour	3	3
-mile-range	1	1
-mile-wide	1	1
-mile	128	110
-mileslipper-sli	1	1
-milIion	9	3
-milligram	5	4
-milliliter	2	1
-millimeter	19	17
-millimeters	1	1
-millimetre	5	4
-million-dollar	4	4
-million-piece	1	1
-million-plus	1	1
-million-square-	1	1
-million-to-one	1	1
-million-year-ol	1	1
-million-year	1	1
-million	27	22
-millionth	1	1
-milliwatt	1	1
-minute--	1	1
-minute-and-	1	1
-minute-long	1	1
-minute	130	119
-Minute	2	2
-minutes	1	1
-miscarry	1	1
-miss	1	1
-Miss	1	1
-mlle	1	1
-Mm-hmm	4	2
-Mm-mm	1	1
-mm	5	5
-Mm	1	1
-Mmm-mm	1	1
-Mmm	2	1
-mo-m-my	1	1
-mo-ment	1	1
-Mom	3	2
-Mon	1	1
-month-old	20	19
-month	15	14
-moon	1	1
-more	3	1
-morning-	1	1
-Morning	1	1
-Morris	1	1
-most	3	2
-Most	4	4
-mother	1	1
-Mount	1	1
-mouth	1	1
-Move	1	1
-Mr	8	6
